AP Vendor Master List,All Vendors,,
38530,4501 Central LLC,4401 Central Ave NE  Suite A,Albuquerque  NM  87108  US
38150,4MC Enterprises LLC,PO Box 109,Red Rock  TX  78662  US
1010,b,,
18920,505CWI LLC.,1260 Calle San Lorenzo,Bernalillo  NM  87004  US
25240,806 Concrete,5421 101st St.,Lubbock  TX  79424  US
34040,814 Solutions LLC,5750 Pino Avenue NE,Albuquerque  NM  87109  US
33490,84 Lumber,102 E 50th St.,Lubbock  TX  79404  US
21000,"A & L Sandblasting, Paint & Coating LLC",401 S Turner,Hobbs  NM  88240  US
20970,A & S Construction,PO Box 2235,Taos  NM  87571  US
33150,A Choice Carpet Cleaning,3291 Teardrop Circle,Colorado Springs  CO  80917  US
18200,A Clean Slate,10709 Pebble Ct. NW,Albuquerque  NM  87114  US
26290,A Cleaner Solution,PO Box 98128,Lubbock  TX  79499  US
27140,A Cut Above the Rest,3370 Chelton Loop S.,Colorado Springs  CO  80909  US
13420,A Good Sign,401 2nd St. SW,Albuquerque  NM  87102  US
28920,"A Home Elevator, Inc.",PO Box 31898,Amarillo  TX  79120  US
34010,A Plus Mobile Home Service,22180 Priest Rd.,Elmendorf  TX  78112  US
40620,A Plus Painting,PO Box 26011,Albuquerque  NM  87125  US
1020,A Roman Electric Inc.,850 Holly Dr.  A23,Las Cruces  NM  88005  
33100,"A THRU Z Consulting and Distributing, Inc.","8620 E Old Vail Road, Suite 100",Tucson  AZ  85747  US
1030,A To Z Tire & Battery,PO Box 205477,Dallas  TX  75320-5477  
26020,A Ward Crane,PO Box 3108,Los Lunas  NM  87031  US
17080,"A. K. Sales & Consulting, Inc.",115 E. Country Club Rd.,Roswell  NM  88201  US
40450,A.G. Custom Sheet Metal Inc,PO Box 5110,Hobbs  NM  88240  US
32040,A.R.K. Ramos,1321 S. Walker Ave.,Oklahoma City  OK  73109  US
24150,A/C Today Heating and Air Conditioning,PO Box 53731,Lubbock  TX  79453  US
32170,A+Opening Solutions,3611 N. Frankford Ave,Lubbock  TX  79416  US
23730,A-1 Building Supply,3601 Globe Ave.,Lubbock  TX  79404  US
38910,A-1 Coring Inc,610 W. Front St. STE 100,Hutto  TX  78634  US
30890,A1 Mobile Tire Service LLC,431 Bristlebrush St. SW,Albuquerque  NM  87121  US
20890,A-1 Pro Steam Inc.,401 N. Grimes,Hobbs  NM  88240  US
1070,A-1 Quality Redi Mix,PO Box 591,Socorro  NM  87801  
33130,A-1 Sewer & Drain,PO Box 10595,Albuquerque  NM  87184-0595  US
19070,A2Z Inc.,3330 Candelaria NE,Albuquerque  NM  87107  US
38890,AA Events and Tents,303 Arvada NW,Albuquerque  NM  87102  US
19550,AA Mobile Shredders,PO Box 66378,Albuquerque  NM  87193-6378  US
40980,AAA Pest Control,5671 Beacon Ave,El Paso  TX  79905  US
1080,AAA Pumping Service Inc.,PO Box 12186,Albuquerque  NM  87195  
1090,AAA Septic Service,PO Box 487,Raton  NM  87740  
1100,AAC Construction LLC,18 La Luna Road,Santa Fe  NM  87507  
38810,AAF International,24828 Network Place,Chicago  IL  60673-1248  US
1040,AandA Pumping Service Inc.,415 North 4th Street,Belen  NM  87002  
1050,AandM Contractors Inc.,722-A Sanrod Rd SE,Albuquerque  NM  87105  
1060,AandS Plumbing,5720 Industry Way SE,Albuquerque  NM  87105  
13930,Aaron Forrester,  US,
39810,Aaron Johnson,5409 24th,Lubbock  TX  79407  US
1110,Aaron Rents and Sells Furniture,5000-A Pan American Fwy.,Albuquerque  NM  87109  
31890,Aaron Saavedra,  US,
32630,Abacus Engineering Surveying,2737 81st Street,Lubbock  TX  79423  US
1120,Abasto Subsurface Utility Engineering Services LLC,PO Box 6265,Albuquerque  NM  87197-6265  
33010,ABBA CAD Drafting II,5207 Apache Trail,Las Cruces  NM  88012  US
25190,"Abba Properties, LLC",1501 San Pedro Dr. NE,Albuquerque  NM  87110  US
1130,Abbess Co. Inc.,905 Silver Maple Ct.,Glen Burnie  MD  21060  
1140,ABC Door Company,2915 Richmond NE,Albuquerque  NM  87107  
12930,"ABC Lock & Safe Co., Inc.",5035 NDCBU 412 Paseo Del Pueblo Sur,Taos  NM  87571  US
14400,ABC New Mexico Chapter,2821 Broadway Blvd. NE,Albuquerque  NM  87107  US
26010,"ABC Stripe, LLC",PO Box 25172,Albuquerque  NM  87125  US
29010,ABC Supply,2710 Sawmill Road,Santa Fe  NM  87505-5524  US
23680,ABCO Discount Glass & Mirror Inc.,"6625 W. 19th, Suite #201",Lubbock  TX  79407  US
23160,ABCO Fire Protection,14202 Highway 87 South,Lubbock  TX  79423  US
1150,ABCWUA,PO Box 27226,Albuquerque  NM  87125-7226  
1160,Abeita Glass Co.,600 W. Coal,Gallup  NM  87301  
24140,ABF Commercial Roofing & Foam,702 Woodrow Road,Lubbock  TX  79423  US
13150,Adam Harrington,  US,
40830,Able Sign Co.,811 2nd St,Las Cruces  NM  88005  US
26430,ABQ Machine Works,PO Box 4681,Albuquerque  NM  87196  US
33840,"Abraham's Construction, Inc",7707 Broadway Blvd. SE,Albuquerque  NM  87105  US
14280,ABS,2721 Campbell Rd NW,Albuquerque  NM  87104  US
29090,AC Disposal Services Inc.,501 Bernard Avenue,Belen  NM  87002  US
29970,"AC Engineering Enterprises, LLC","120 Aliso Drive, SE",Albuquerque  NM  87108  US
1170,AC Houston Lumber,PO Box 1609,Gallup  NM  87305-1609  
13260,Academy of Trades and Technology,2551 Karsten Ct. SE,Albuquerque  NM  87102  US
1180,Academy Reprographics,8900 San Mateo Blvd. NE Suite N,Albuquerque  NM  87113  
1190,Accent Contract Glazing,224 Unser Blvd. NE,Rio Rancho  NM  87124  
23000,Accent Landscaping Contractors,,
13140,Accent Stair and Specialty,9611 Acoma SE,Albuquerque  NM  87123  US
38730,Accent Tile & Marble,5844 49th Street,Lubbock  TX  79424  US
29840,Accounting Principals,Dept CH 14031,Palatine  IL  60055-4031  US
1200,Accurate Controls Inc.,326 Blackburn St.,Ripon  WI  54971  
25920,Accurate Coring,PO BOX 220523,El Paso  TX  79913  US
37010,"Accurate Estimating Services, LLC",390 Interlocken Crescent Ste. 350,Broomfield  CO  80021  US
